Census Tract,Geographic Area Name,Population,Deaths,Mortality Rate (Deaths/100000)
"48201333205","Census Tract 3332.05, Harris County, Texas",1515,5,330.03300330033005
"48201334002","Census Tract 3340.02, Harris County, Texas",2240,5,223.21428571428569
"48201340101","Census Tract 3401.01, Harris County, Texas",1879,5,266.09898882384243
"48201340400","Census Tract 3404, Harris County, Texas",1306,5,382.84839203675347
"48201410101","Census Tract 4101.01, Harris County, Texas",2159,5,231.58869847151459
"48201410201","Census Tract 4102.01, Harris County, Texas",2176,5,229.77941176470588
"48201410501","Census Tract 4105.01, Harris County, Texas",1746,5,286.368843069874
"48201410601","Census Tract 4106.01, Harris County, Texas",3444,5,145.18002322880372
"48201410602","Census Tract 4106.02, Harris County, Texas",2508,5,199.36204146730461
"48201410704","Census Tract 4107.04, Harris County, Texas",1895,5,263.85224274406329
"48201410705","Census Tract 4107.05, Harris County, Texas",916,5,545.8515283842795
"48201410802","Census Tract 4108.02, Harris County, Texas",1631,5,306.56039239730228
"48201410900","Census Tract 4109, Harris County, Texas",3535,5,141.44271570014143
"48201411002","Census Tract 4110.02, Harris County, Texas",2186,5,228.72827081427266
"48201411003","Census Tract 4110.03, Harris County, Texas",1614,5,309.78934324659235
"48201411504","Census Tract 4115.04, Harris County, Texas",2329,5,214.68441391155002
"48201411505","Census Tract 4115.05, Harris County, Texas",2826,5,176.92852087756546
"48201411507","Census Tract 4115.07, Harris County, Texas",2093,5,238.89154323936935
"48201411700","Census Tract 4117, Harris County, Texas",3793,5,131.8217769575534
"48201411801","Census Tract 4118.01, Harris County, Texas",3257,5,153.51550506601166
"48201411901","Census Tract 4119.01, Harris County, Texas",2079,5,240.50024050024052
"48201412500","Census Tract 4125, Harris County, Texas",1835,5,272.47956403269751
"48201412901","Census Tract 4129.01, Harris County, Texas",1577,5,317.05770450221945
"48201413204","Census Tract 4132.04, Harris County, Texas",1077,5,464.25255338904361
"48201413206","Census Tract 4132.06, Harris County, Texas",2813,5,177.74617845716318
"48201421101","Census Tract 4211.01, Harris County, Texas",3257,5,153.51550506601166
"48201421103","Census Tract 4211.03, Harris County, Texas",1473,5,339.44331296673454
"48201421203","Census Tract 4212.03, Harris County, Texas",1805,5,277.0083102493075
"48201421204","Census Tract 4212.04, Harris County, Texas",2428,5,205.93080724876441
"48201421206","Census Tract 4212.06, Harris County, Texas",2054,5,243.42745861733206
"48201421402","Census Tract 4214.02, Harris County, Texas",3284,5,152.2533495736906
"48201421502","Census Tract 4215.02, Harris County, Texas",2838,5,176.18040873854829
"48201421601","Census Tract 4216.01, Harris County, Texas",3112,5,160.66838046272494
"48201422404","Census Tract 4224.04, Harris County, Texas",2966,5,168.57720836142954
"48201423100","Census Tract 4231, Harris County, Texas",2775,5,180.18018018018017
"48201430200","Census Tract 4302, Harris County, Texas",1518,5,329.38076416337287
"48201431303","Census Tract 4313.03, Harris County, Texas",2019,5,247.64735017335315
"48201431403","Census Tract 4314.03, Harris County, Texas",1504,5,332.44680851063828
"48201431503","Census Tract 4315.03, Harris County, Texas",1591,5,314.26775612822127
"48201431803","Census Tract 4318.03, Harris County, Texas",2597,5,192.52984212552946
"48201432003","Census Tract 4320.03, Harris County, Texas",2066,5,242.01355275895449
"48201432005","Census Tract 4320.05, Harris County, Texas",2740,5,182.48175182481751
"48201432006","Census Tract 4320.06, Harris County, Texas",2025,5,246.91358024691357
"48201432303","Census Tract 4323.03, Harris County, Texas",2221,5,225.12381809995495
"48201432402","Census Tract 4324.02, Harris County, Texas",2482,5,201.450443190975
"48201432805","Census Tract 4328.05, Harris County, Texas",2017,5,247.89291026276649
"48201433006","Census Tract 4330.06, Harris County, Texas",2401,5,208.24656393169514
"48201433007","Census Tract 4330.07, Harris County, Texas",1507,5,331.78500331785006
"48201433503","Census Tract 4335.03, Harris County, Texas",1783,5,280.42624789680315
"48201433505","Census Tract 4335.05, Harris County, Texas",2898,5,172.53278122843341
"48201433506","Census Tract 4335.06, Harris County, Texas",2145,5,233.10023310023311
"48201450100","Census Tract 4501, Harris County, Texas",1908,5,262.05450733752622
"48201450401","Census Tract 4504.01, Harris County, Texas",2180,5,229.35779816513764
"48201450801","Census Tract 4508.01, Harris County, Texas",2069,5,241.66263895601739
"48201451005","Census Tract 4510.05, Harris County, Texas",1897,5,263.5740643120717
"48201451405","Census Tract 4514.05, Harris County, Texas",2369,5,211.05951878429718
"48201451407","Census Tract 4514.07, Harris County, Texas",1672,5,299.04306220095691
"48201451502","Census Tract 4515.02, Harris County, Texas",2683,5,186.35855385762207
"48201452102","Census Tract 4521.02, Harris County, Texas",1896,5,263.71308016877634
"48201452703","Census Tract 4527.03, Harris County, Texas",3897,5,128.30382345393892
"48201453300","Census Tract 4533, Harris County, Texas",3485,5,143.47202295552367
"48201454400","Census Tract 4544, Harris County, Texas",1046,5,478.0114722753346
"48201454502","Census Tract 4545.02, Harris County, Texas",2672,5,187.125748502994
"48201510601","Census Tract 5106.01, Harris County, Texas",3158,5,158.32805573147562
"48201510602","Census Tract 5106.02, Harris County, Texas",4380,5,114.15525114155251
"48201510701","Census Tract 5107.01, Harris County, Texas",2347,5,213.03792074989346
"48201510702","Census Tract 5107.02, Harris County, Texas",1956,5,255.62372188139059
"48201510803","Census Tract 5108.03, Harris County, Texas",2444,5,204.58265139116205
"48201510902","Census Tract 5109.02, Harris County, Texas",3867,5,129.29919834497025
"48201511201","Census Tract 5112.01, Harris County, Texas",2856,5,175.0700280112045
"48201520601","Census Tract 5206.01, Harris County, Texas",2328,5,214.77663230240552
"48201520603","Census Tract 5206.03, Harris County, Texas",2463,5,203.00446609825417
"48201521000","Census Tract 5210, Harris County, Texas",2289,5,218.435998252512
"48201521100","Census Tract 5211, Harris County, Texas",2263,5,220.9456473707468
"48201521201","Census Tract 5212.01, Harris County, Texas",2371,5,210.88148460565162
"48201530102","Census Tract 5301.02, Harris County, Texas",1690,5,295.85798816568047
"48201540503","Census Tract 5405.03, Harris County, Texas",2594,5,192.75250578257518
"48201541702","Census Tract 5417.02, Harris County, Texas",2458,5,203.41741253051262
"48201541802","Census Tract 5418.02, Harris County, Texas",4277,5,116.90437222352115
"48201541901","Census Tract 5419.01, Harris County, Texas",2705,5,184.84288354898337
"48201550201","Census Tract 5502.01, Harris County, Texas",1775,5,281.69014084507046
"48201550307","Census Tract 5503.07, Harris County, Texas",2444,5,204.58265139116205
"48201550308","Census Tract 5503.08, Harris County, Texas",3511,5,142.40956992309881
"48201550403","Census Tract 5504.03, Harris County, Texas",3869,5,129.23235978288963
"48201551901","Census Tract 5519.01, Harris County, Texas",2065,5,242.13075060532688
"48201552002","Census Tract 5520.02, Harris County, Texas",1591,5,314.26775612822127
"48201552303","Census Tract 5523.03, Harris County, Texas",3151,5,158.67978419549348
"48201552604","Census Tract 5526.04, Harris County, Texas",2361,5,211.77467174925877
"48201980000","Census Tract 9800, Harris County, Texas",20,5,25000
"48201980200","Census Tract 9802, Harris County, Texas",8296,5,60.27000964320154
"48201980700","Census Tract 9807, Harris County, Texas",2299,5,217.48586341887778
"48209010100","Census Tract 101, Hays County, Texas",2809,5,177.999288002848
"48209010200","Census Tract 102, Hays County, Texas",6908,5,72.379849449913138
"48209010308","Census Tract 103.08, Hays County, Texas",1960,5,255.10204081632651
"48215020510","Census Tract 205.10, Hidalgo County, Texas",3022,5,165.4533421575116
"48215024131","Census Tract 241.31, Hidalgo County, Texas",970,5,515.46391752577324
"48245980300","Census Tract 9803, Jefferson County, Texas",4824,5,103.64842454394693
"48251130418","Census Tract 1304.18, Johnson County, Texas",3004,5,166.44474034620507
"48253020102","Census Tract 201.02, Jones County, Texas",4822,5,103.69141435089175
